1)  a, an indefinite article	1.	a, belirsiz bir makale	
		 	 	
				
2)	abandon v.	2.	v terk.	
		 	 	
				
3)	abandoned adj.	3.	Terk edilmiş sıf.	
		 	 	
				
4)	ability n.	4.	yetenek n.	
		 	 	
				
5)	able adj.	5.	mümkün sıf.	
		 	 	
				
6)	unable adj.	6.	yapamaz sıf.	
		 	 	
				
7)	about adv., prep.	7.	hakkında adv., hazırlık.	
		 	 	
				
8)	above prep., adv.	8.	prep üstünde., adv.	
		 	 	
				
9)	abroad adv.	9.	Yurt dışında adv.	
		 	 	
			
10) absence n.	10.	yokluğu n.	
		 	 	
			
11) absent adj.	11.	yok sıf.	
		 	 	
			
12) absolute adj.	12.	Mutlak sıf.	
		 	 	
			
13) absolutely adv.	13.	Kesinlikle adv.	
		 	 	
			
14) absorb v.	14.	v emer.	
		 	 	
			
15) abuse n., v.	15.	Kötüye n., v.	
		 	 	
			
16) academic adj.	16.	Akademik sıf.	
		 	 	
			
17) accent n.	17.	aksan n.	
		 	 	
			
18) accept v.	18.	v kabul edin.	
		 	 	
			
19) acceptable adj.	19.	kabul edilebilir sıf.	
		 	 	
			
20) unacceptable adj.	20.	kabul edilemez sıf.	
		 	 	
			
21) access n.	21.	erişim n.	
		 	 	
			
22) accident n.	22.	Kaza n.	
		 	 	
			
23) by accident	23.	kazayla	
		 	 	
			
24) accidental adj.	24.	Kazara sıf.	
		 	 	
			
25) accidentally adv.	25.	Yanlışlıkla adv.	
		 	 	
			
26) accommodation n.	26.	Konaklama n.	
		 	 	
				
 
27) accompany v.	27.	v eşlik ediyor.	
	 	 	
			
28) according to prep.	28.	hazırlık göre.	
	 	 	
			
29) account n., v.	29.	Hesap n., v.	
	 	 	
			
30) accurate adj.	30.	Doğru sıf.	
	 	 	
			
31) accurately adv.	31.	doğru adv.	
	 	 	
			
32) accuse v.	32.	v suçluyorlar.	
	 	 	
			
33) achieve v.	33.	v ulaşmak.	
	 	 	
			
34) achievement n.	34.	başarı n.	
	 	 	
			
35) acid n.	35.	asit n.	
	 	 	
			
36) acknowledge v.	36.	v kabul.	
	 	 	
			
37) acquire v.	37.	v kazanır.	
	 	 	
			
38) across adv., prep.	38.	adv karşısında., hazırlık.	
	 	 	
			
39) act n., v.	39.	n davran., v.	
	 	 	
			
40) action n.	40.	Eylem n.	
	 	 	
			
41) take action	41.	harekete geç	
	 	 	
			
42) active adj.	42.	Aktif sıf.	
	 	 	
			
43) actively adv.	43.	aktif adv.	
	 	 	
			
44) activity n.	44.	etkinlik n.	
	 	 	
			
45) actor, actress n.	45.	aktör, aktris n.	
	 	 	
			
46) actual adj.	46.	Gerçek sıf.	
	 	 	
			
47) actually adv.	47.	Aslında adv.	
	 	 	
			
48) ad  advertisement	48.	reklam  reklâm	
	 	 	
			
49) adapt v.	49.	v adapte.	
	 	 	
			
50) add v.	50.	v ekleyin.	
	 	 	
			
51) addition n.	51.	İlave n.	
	 	 	
			
52) in addition (to)	52.	ek olarak)	
	 	 	
			
 

53) additional adj.	53.	Ek sıf.	
	 	 	
			
54) address n., v.	54.	adres n., v.	
	 	 	
			
55) adequate adj.	55.	Yeterli sıf.	
	 	 	
			
